id,text,reporterCodeIsoAlpha3,world_part
562,Нигер,NER,Африка
566,Нигерия,NGA,Африка
570,Ниуэ,NIU,Австралия и Океания
807,Северная Македония,MKD,Европа
579,Норвегия,NOR,Европа
512,Оман,OMN,Азия
490,Прочие страны Азии,S19,Азия
582,Тихоокеанские острова (до 1991),PCI,Австралия и Океания
586,Пакистан,PAK,Азия
585,Палау,PLW,Австралия и Океания
591,Панама,PAN,Америка
590,"Панама, исключая зону канала (до 1977)",PAN,Америка
592,Панамская зона канала (до 1977),PCZ,Америка
598,Папуа — Новая Гвинея,PNG,Австралия и Океания
600,Парагвай,PRY,Америка
459,Пенинсула Малайзия (до 1963),_PM,Азия
604,Перу,PER,Америка
608,Филиппины,PHL,Азия
616,Польша,POL,Европа
620,Португалия,PRT,Европа
634,Катар,QAT,Азия
410,Республика Корея,KOR,Азия
498,Республика Молдова,MDA,Европа
868,Республика Вьетнам (до 1974),VNM,Азия
638,Реюньон,REU,Африка
717,Родезия и Ньясаленд (до 1964),_RN,Африка
642,Румыния,ROU,Европа
643,Россия,RUS,Европа
646,Руанда,RWA,Африка
461,Сабах (до 1963),_SH,Азия
652,Сен-Бартелеми,BLM,Америка
654,Остров Святой Елены,SHN,Африка
659,Сент-Китс и Невис,KNA,Америка
658,"Сент-Китс, Невис и Ангилья (до 1980)",KNA,Америка
662,Сент-Люсия,LCA,Америка
534,Синт-Мартен,SXM,Америка
666,Сен-Пьер и Микелон,SPM,Америка
670,Сент-Винсент и Гренадины,VCT,Америка
882,Самоа,WSM,Австралия и Океания
674,Сан-Марино,SMR,Европа
678,Сан-Томе и Принсипи,STP,Африка
682,Саудовская Аравия,SAU,Азия
686,Сенегал,SEN,Африка
688,Сербия,SRB,Европа
891,Сербия и Черногория (до 2005),SCG,Европа
690,Сейшелы,SYC,Африка
694,Сьерра-Леоне,SLE,Африка
702,Сингапур,SGP,Азия
703,Словакия,SVK,Европа
705,Словения,SVN,Европа
90,Соломоновы острова,SLB,Австралия и Океания
706,Сомали,SOM,Африка
710,Южная Африка,ZAF,Африка
728,Южный Судан,SSD,Африка
711,Южноафриканский таможенный союз (до 1999),ZA1,Африка
724,Испания,ESP,Европа
144,Шри-Ланка,LKA,Азия
275,Государство Палестина,PSE,Азия
729,Судан,SDN,Африка
736,Судан (до 2011),SDN,Африка
740,Суринам,SUR,Америка
752,Швеция,SWE,Европа
757,Швейцария,CHE,Европа
760,Сирия,SYR,Азия
762,Таджикистан,TJK,Азия
835,Танганьика (до 1964),_TK,Африка
764,Таиланд,THA,Азия
626,Восточный Тимор,TLS,Азия
768,Того,TGO,Африка
772,Токелау,TKL,Австралия и Океания
